epoch	Training Loss	Valid. Loss	Valid. Acc
1	0.3285929882833939	0.23816447092454043	0.7782710890571951
2	0.1345726170781956	0.17858933474321287	0.8284147296944372
3	0.08834093285704857	0.1834981214704406	0.8427787934186471
4	0.06143392671441029	0.19188176800225448	0.8464351005484461
5	0.04575333782255305	0.19102198447776905	0.8592321755027422
6	0.034858109040334095	0.219131102536391	0.8618438234525986
7	0.025253489998462355	0.24267130156607689	0.8683729433272395
8	0.01879170748741844	0.27993338098375753	0.873073909636981
9	0.013415370768472505	0.29776498028919063	0.8720292504570384
10	0.00929116902970386	0.3247142325123138	0.8725515800470096
